"Ime Operacije","Vrednost","Enota"
"0 Omejitev Plina","6721975","plin"
"0 Cena Plina","6721975","plin"
"J. Nalozi ontologijo rdf-sparql/ontologija-dbpedia/TBox_DBpedia_ontology_type=parsed.xml v Jena bazo","1305","ms"
"J. Nalozi ontologijo rdf-sparql/ontologija-dbpedia/ABox_DBpedia_instance-types_lang=en_specific.ttl v Jena bazo","182565","ms"
"1. Objava pogodbe","264","ms"
"Naslov pametne pogodbe","0xb42a87104dada5b674a554b0d95322ba73b1a772","hex"
"2.0 Objava vhodne ontologije na IPFS","32","ms"
"2.0 Objava CID-a vhodne ontologije na ETH","70","ms"
"2.0 Objava CID-a vhodne ontologije na ETH","104938","gas"
"2.1 Objava vhodne ontologije na IPFS","6210","ms"
"2.1 Objava CID-a vhodne ontologije na ETH","96","ms"
"2.1 Objava CID-a vhodne ontologije na ETH","89938","gas"
"2. Vhodna ontologije na verige blokov","6432","ms"
"4.0 Izvedba SPARQL poizvedbe","177","ms"
"4.x Izvedi SPARQL posodobitev nad bazo RDF","466","ms"
"4.x Nalozi migracijo na IPFS","1","ms"
"4.x Nalozi CID migracije na ETH","83","ms"
"4.1 Izvedba SPARQL poizvedbe","1079","ms"
"4.x Izvedi SPARQL posodobitev nad bazo RDF","411","ms"
"4.x Nalozi migracijo na IPFS","1","ms"
"4.x Nalozi CID migracije na ETH","70","ms"
"4.2 Izvedba SPARQL poizvedbe","994","ms"
"4.x Izvedi SPARQL posodobitev nad bazo RDF","439","ms"
"4.x Nalozi migracijo na IPFS","1","ms"
"4.x Nalozi CID migracije na ETH","73","ms"
"4.3 Izvedba SPARQL poizvedbe","961","ms"
"4.x Izvedi SPARQL posodobitev nad bazo RDF","339","ms"
"4.x Nalozi migracijo na IPFS","1","ms"
"4.x Nalozi CID migracije na ETH","74","ms"
"4.4 Izvedba SPARQL poizvedbe","887","ms"
"4.5 Izvedba SPARQL poizvedbe","3","ms"
"Skupni cas izvajanja programa","197534","ms"
